,Pays,Indicateur,Année,Unité,Valeur
0,Brazil,suffisance des apports énergétiques alimentaires moyens,2000,%,122.0
1,Brazil,suffisance des apports énergétiques alimentaires moyens,2001,%,124.0
2,Brazil,suffisance des apports énergétiques alimentaires moyens,2002,%,127.0
3,Brazil,suffisance des apports énergétiques alimentaires moyens,2003,%,129.0
4,Brazil,suffisance des apports énergétiques alimentaires moyens,2004,%,130.0
5,Brazil,suffisance des apports énergétiques alimentaires moyens,2005,%,131.0
6,Brazil,suffisance des apports énergétiques alimentaires moyens,2006,%,132.0
7,Brazil,suffisance des apports énergétiques alimentaires moyens,2007,%,133.0
8,Brazil,suffisance des apports énergétiques alimentaires moyens,2008,%,134.0
9,Brazil,suffisance des apports énergétiques alimentaires moyens,2009,%,136.0
10,Brazil,suffisance des apports énergétiques alimentaires moyens,2010,%,136.0
11,Brazil,suffisance des apports énergétiques alimentaires moyens,2011,%,136.0
12,Brazil,suffisance des apports énergétiques alimentaires moyens,2012,%,136.0
13,Brazil,suffisance des apports énergétiques alimentaires moyens,2013,%,136.0
14,Brazil,suffisance des apports énergétiques alimentaires moyens,2014,%,135.0
15,Brazil,suffisance des apports énergétiques alimentaires moyens,2015,%,135.0
16,Brazil,suffisance des apports énergétiques alimentaires moyens,2016,%,135.0
17,Brazil,suffisance des apports énergétiques alimentaires moyens,2017,%,136.0
18,Brazil,suffisance des apports énergétiques alimentaires moyens,2018,%,136.0
19,Brazil,suffisance des apports énergétiques alimentaires moyens,2019,%,137.0
20,Brazil,suffisance des apports énergétiques alimentaires moyens,2020,%,138.0
21,Brazil,suffisance des apports énergétiques alimentaires moyens,2021,%,139.0
22,Brazil,suffisance des apports énergétiques alimentaires moyens,2022,%,140.0
23,Brazil,disponibilité alimentaire par habitant,2000,kcal/cap/d,2896.0
24,Brazil,disponibilité alimentaire par habitant,2001,kcal/cap/d,2960.0
25,Brazil,disponibilité alimentaire par habitant,2002,kcal/cap/d,3031.0
26,Brazil,disponibilité alimentaire par habitant,2003,kcal/cap/d,3100.0
27,Brazil,disponibilité alimentaire par habitant,2004,kcal/cap/d,3133.0
28,Brazil,disponibilité alimentaire par habitant,2005,kcal/cap/d,3167.0
29,Brazil,disponibilité alimentaire par habitant,2006,kcal/cap/d,3201.0
30,Brazil,disponibilité alimentaire par habitant,2007,kcal/cap/d,3235.0
31,Brazil,disponibilité alimentaire par habitant,2008,kcal/cap/d,3269.0
32,Brazil,disponibilité alimentaire par habitant,2009,kcal/cap/d,3307.0
33,Brazil,disponibilité alimentaire par habitant,2010,kcal/cap/d,3317.0
34,Brazil,disponibilité alimentaire par habitant,2011,kcal/cap/d,3320.0
35,Brazil,disponibilité alimentaire par habitant,2012,kcal/cap/d,3322.0
36,Brazil,disponibilité alimentaire par habitant,2013,kcal/cap/d,3322.0
37,Brazil,disponibilité alimentaire par habitant,2014,kcal/cap/d,3311.0
38,Brazil,disponibilité alimentaire par habitant,2015,kcal/cap/d,3292.0
39,Brazil,disponibilité alimentaire par habitant,2016,kcal/cap/d,3306.0
40,Brazil,disponibilité alimentaire par habitant,2017,kcal/cap/d,3329.0
41,Brazil,disponibilité alimentaire par habitant,2018,kcal/cap/d,3338.0
42,Brazil,disponibilité alimentaire par habitant,2019,kcal/cap/d,3349.0
43,Brazil,disponibilité alimentaire par habitant,2020,kcal/cap/d,3373.0
44,Brazil,disponibilité alimentaire par habitant,2021,kcal/cap/d,3406.0
45,Brazil,disponibilité alimentaire par habitant,2022,kcal/cap/d,3433.0
46,Brazil,disponibilité protéiques moyenne,2000,g/cap/d,80.2
47,Brazil,disponibilité protéiques moyenne,2001,g/cap/d,81.8
48,Brazil,disponibilité protéiques moyenne,2002,g/cap/d,83.2
49,Brazil,disponibilité protéiques moyenne,2003,g/cap/d,83.8
50,Brazil,disponibilité protéiques moyenne,2004,g/cap/d,83.7
51,Brazil,disponibilité protéiques moyenne,2005,g/cap/d,84.2
52,Brazil,disponibilité protéiques moyenne,2006,g/cap/d,86.1
53,Brazil,disponibilité protéiques moyenne,2007,g/cap/d,87.5
54,Brazil,disponibilité protéiques moyenne,2008,g/cap/d,92.5
55,Brazil,disponibilité protéiques moyenne,2009,g/cap/d,97.0
56,Brazil,disponibilité protéiques moyenne,2010,g/cap/d,101.0
57,Brazil,disponibilité protéiques moyenne,2011,g/cap/d,101.6
58,Brazil,disponibilité protéiques moyenne,2012,g/cap/d,102.0
59,Brazil,disponibilité protéiques moyenne,2013,g/cap/d,102.3
60,Brazil,disponibilité protéiques moyenne,2014,g/cap/d,102.1
61,Brazil,disponibilité protéiques moyenne,2015,g/cap/d,101.9
62,Brazil,disponibilité protéiques moyenne,2016,g/cap/d,103.0
63,Brazil,disponibilité protéiques moyenne,2017,g/cap/d,103.0
64,Brazil,disponibilité protéiques moyenne,2018,g/cap/d,102.6
65,Brazil,disponibilité protéiques moyenne,2019,g/cap/d,101.2
66,Brazil,disponibilité protéiques moyenne,2020,g/cap/d,101.1
67,China,suffisance des apports énergétiques alimentaires moyens,2000,%,116.0
68,China,suffisance des apports énergétiques alimentaires moyens,2001,%,116.0
69,China,suffisance des apports énergétiques alimentaires moyens,2002,%,116.0
70,China,suffisance des apports énergétiques alimentaires moyens,2003,%,116.0
71,China,suffisance des apports énergétiques alimentaires moyens,2004,%,117.0
72,China,suffisance des apports énergétiques alimentaires moyens,2005,%,117.0
73,China,suffisance des apports énergétiques alimentaires moyens,2006,%,119.0
74,China,suffisance des apports énergétiques alimentaires moyens,2007,%,120.0
75,China,suffisance des apports énergétiques alimentaires moyens,2008,%,122.0
76,China,suffisance des apports énergétiques alimentaires moyens,2009,%,124.0
77,China,suffisance des apports énergétiques alimentaires moyens,2010,%,126.0
78,China,suffisance des apports énergétiques alimentaires moyens,2011,%,127.0
79,China,suffisance des apports énergétiques alimentaires moyens,2012,%,128.0
80,China,suffisance des apports énergétiques alimentaires moyens,2013,%,130.0
81,China,suffisance des apports énergétiques alimentaires moyens,2014,%,132.0
82,China,suffisance des apports énergétiques alimentaires moyens,2015,%,133.0
83,China,suffisance des apports énergétiques alimentaires moyens,2016,%,134.0
84,China,suffisance des apports énergétiques alimentaires moyens,2017,%,135.0
85,China,suffisance des apports énergétiques alimentaires moyens,2018,%,136.0
86,China,suffisance des apports énergétiques alimentaires moyens,2019,%,137.0
87,China,suffisance des apports énergétiques alimentaires moyens,2020,%,139.0
88,China,suffisance des apports énergétiques alimentaires moyens,2021,%,140.0
89,China,suffisance des apports énergétiques alimentaires moyens,2022,%,140.0
90,China,disponibilité alimentaire par habitant,2000,kcal/cap/d,2813.0
91,China,disponibilité alimentaire par habitant,2001,kcal/cap/d,2819.0
92,China,disponibilité alimentaire par habitant,2002,kcal/cap/d,2831.0
93,China,disponibilité alimentaire par habitant,2003,kcal/cap/d,2845.0
94,China,disponibilité alimentaire par habitant,2004,kcal/cap/d,2860.0
95,China,disponibilité alimentaire par habitant,2005,kcal/cap/d,2880.0
96,China,disponibilité alimentaire par habitant,2006,kcal/cap/d,2912.0
97,China,disponibilité alimentaire par habitant,2007,kcal/cap/d,2948.0
98,China,disponibilité alimentaire par habitant,2008,kcal/cap/d,2995.0
99,China,disponibilité alimentaire par habitant,2009,kcal/cap/d,3039.0
100,China,disponibilité alimentaire par habitant,2010,kcal/cap/d,3080.0
101,China,disponibilité alimentaire par habitant,2011,kcal/cap/d,3099.0
102,China,disponibilité alimentaire par habitant,2012,kcal/cap/d,3136.0
103,China,disponibilité alimentaire par habitant,2013,kcal/cap/d,3179.0
104,China,disponibilité alimentaire par habitant,2014,kcal/cap/d,3217.0
105,China,disponibilité alimentaire par habitant,2015,kcal/cap/d,3235.0
106,China,disponibilité alimentaire par habitant,2016,kcal/cap/d,3248.0
107,China,disponibilité alimentaire par habitant,2017,kcal/cap/d,3274.0
108,China,disponibilité alimentaire par habitant,2018,kcal/cap/d,3295.0
109,China,disponibilité alimentaire par habitant,2019,kcal/cap/d,3336.0
110,China,disponibilité alimentaire par habitant,2020,kcal/cap/d,3383.0
111,China,disponibilité alimentaire par habitant,2021,kcal/cap/d,3427.0
112,China,disponibilité alimentaire par habitant,2022,kcal/cap/d,3435.0
113,China,disponibilité protéiques moyenne,2000,g/cap/d,84.0
114,China,disponibilité protéiques moyenne,2001,g/cap/d,84.3
115,China,disponibilité protéiques moyenne,2002,g/cap/d,85.2
116,China,disponibilité protéiques moyenne,2003,g/cap/d,86.0
117,China,disponibilité protéiques moyenne,2004,g/cap/d,86.8
118,China,disponibilité protéiques moyenne,2005,g/cap/d,87.8
119,China,disponibilité protéiques moyenne,2006,g/cap/d,89.5
120,China,disponibilité protéiques moyenne,2007,g/cap/d,91.3
121,China,disponibilité protéiques moyenne,2008,g/cap/d,97.9
122,China,disponibilité protéiques moyenne,2009,g/cap/d,104.0
123,China,disponibilité protéiques moyenne,2010,g/cap/d,110.0
