,nom_pays,année,PIB_par_habitant
4879,Brazil,2020,8435.01046209185
4880,Brazil,2019,8771.43950372603
4881,Brazil,2018,8722.33529970988
4882,Brazil,2017,8628.25209645723
4883,Brazil,2016,8577.84277969667
4884,Brazil,2015,8936.1955889444
4885,Brazil,2014,9338.34170840985
4886,Brazil,2013,9366.73824670239
4887,Brazil,2012,9167.49818450433
4888,Brazil,2011,9067.99212019529
4889,Brazil,2010,8792.63334959864
4890,Brazil,2009,8246.09612122851
4891,Brazil,2008,8330.76364001877
4892,Brazil,2007,8003.2532101272
4893,Brazil,2006,7622.03919432148
4894,Brazil,2005,7409.56827992249
4895,Brazil,2004,7258.78101654079
4896,Brazil,2003,6941.43965883253
4897,Brazil,2002,6944.62257593723
4898,Brazil,2001,6823.0331851176
4899,Brazil,2000,6817.78345634413
5854,China,2020,10573.6420059282
5855,China,2019,10356.4804194995
5856,China,2018,9798.6528523316
5857,China,2017,9221.51403820573
5858,China,2016,8679.37704460133
5859,China,2015,8175.33285077393
5860,China,2014,7686.57792954381
5861,China,2013,7198.06876478162
5862,China,2012,6723.19443752823
5863,China,2011,6275.90956436258
5864,China,2010,5764.86534987407
5865,China,2009,5237.76666540352
5866,China,2008,4811.47471804961
5867,China,2007,4409.75700836878
5868,China,2006,3883.35412942474
5869,China,2005,3465.81734409951
5870,China,2004,3127.86276523632
5871,China,2003,2857.0373538115
5872,China,2002,2610.72960252379
5873,China,2001,2405.89396743215
5874,China,2000,2237.44298500334
8974,India,2020,1806.50110583878
8975,India,2019,1936.03067741067
8976,India,2018,1883.35772705062
8977,India,2017,1788.69770318446
8978,India,2016,1694.46534973825
8979,India,2015,1583.99815907985
8980,India,2014,1484.31640682913
8981,India,2013,1399.4537980287
8982,India,2012,1333.09626557668
8983,India,2011,1281.61054354933
8984,India,2010,1235.15939133951
8985,India,2009,1155.10163274172
8986,India,2008,1086.50605251513
8987,India,2007,1069.24696813025
8988,India,2006,1008.23275343783
8989,India,2005,947.732565646672
8990,India,2004,892.596614581612
8991,India,2003,841.278894571674
8992,India,2002,793.615912906381
8993,India,2001,778.507377528365
8994,India,2000,756.704109527449
11444,Mexico,2020,9234.64362317923
11445,Mexico,2019,10159.4448364319
11446,Mexico,2018,10296.8690928534
11447,Mexico,2017,10193.7727193457
11448,Mexico,2016,10100.5021214015
11449,Mexico,2015,10021.2386118827
11450,Mexico,2014,9862.48125444199
11451,Mexico,2013,9738.71059803658
11452,Mexico,2012,9782.51776305354
11453,Mexico,2011,9575.93437788582
11454,Mexico,2010,9389.06722084275
11455,Mexico,2009,9074.1188145564
11456,Mexico,2008,9826.3421836048
11457,Mexico,2007,9877.69532644737
11458,Mexico,2006,9813.8280424425
11459,Mexico,2005,9491.51730225718
11460,Mexico,2004,9421.28975988024
11461,Mexico,2003,9221.99666693097
11462,Mexico,2002,9242.27886130016
11463,Mexico,2001,9398.35074355724
11464,Mexico,2000,9581.96970210753
13654,Russian Federation,2020,9632.3251953125
13655,Russian Federation,2019,9882.0244140625
13656,Russian Federation,2018,9674.787109375
13657,Russian Federation,2017,9418.9140625
13658,Russian Federation,2016,9269.3193359375
13659,Russian Federation,2015,9277.7138671875
13660,Russian Federation,2014,9493.8125
13661,Russian Federation,2013,9601.537109375
13662,Russian Federation,2012,9464.0107421875
13663,Russian Federation,2011,9120.8203125
13664,Russian Federation,2010,8755.1201171875
13665,Russian Federation,2009,8381.8681640625
13666,Russian Federation,2008,9093.7001953125
13667,Russian Federation,2007,8640.40625
13668,Russian Federation,2006,7949.89697265625
13669,Russian Federation,2005,7323.38525390625
13670,Russian Federation,2004,6856.67822265625
13671,Russian Federation,2003,6370.45361328125
13672,Russian Federation,2002,5910.171875
13673,Russian Federation,2001,5618.95556640625
13674,Russian Federation,2000,5323.66650390625
14694,South Africa,2020,5569.58483319272
14695,South Africa,2019,6032.82972598668
14696,South Africa,2018,6117.2701406047
14697,South Africa,2017,6125.6920507497
14698,South Africa,2016,6095.295060428
14699,South Africa,2015,6112.27382485974
14700,South Africa,2014,6155.00589462516
14701,South Africa,2013,6170.87670863373
14702,South Africa,2012,6121.55783860713
14703,South Africa,2011,6067.12482726885
14704,South Africa,2010,5953.94506512821
14705,South Africa,2009,5847.05811084505
14706,South Africa,2008,6009.71963138635
14707,South Africa,2007,5891.42069421698
14708,South Africa,2006,5650.9883176549
14709,South Africa,2005,5406.07581377638
14710,South Africa,2004,5187.35683424034
14711,South Africa,2003,5011.62223150169
14712,South Africa,2002,4916.81498068625
14713,South Africa,2001,4786.482450463
14714,South Africa,2000,4700.87555500704
